day,susceptible,infected,recovered,dead,new_infections,new_recoveries,new_deaths,infected_mobile,infected_homebound
0,499,1,0,0,0,0,0,1,0
1,499,1,0,0,0,0,0,1,0
2,499,1,0,0,0,0,0,1,0
3,499,1,0,0,0,0,0,1,0
4,498,2,0,0,1,0,0,2,0
5,496,4,0,0,2,0,0,4,0
6,496,4,0,0,0,0,0,4,0
7,496,4,0,0,0,0,0,4,0
8,496,4,0,0,0,0,0,4,0
9,496,4,0,0,0,0,0,4,0
10,496,4,0,0,0,0,0,4,0
11,496,4,0,0,0,0,0,4,0
12,493,7,0,0,3,0,0,6,1
13,493,7,0,0,0,0,0,6,1
14,493,7,0,0,0,0,0,6,1
15,490,9,1,0,3,1,0,7,2
16,490,9,1,0,0,0,0,7,2
17,490,8,2,0,0,1,0,6,2
18,489,9,2,0,1,0,0,6,3
19,486,12,2,0,3,0,0,8,4
20,486,10,3,1,0,1,1,7,3
21,486,10,3,1,0,0,0,7,3
22,484,12,3,1,2,0,0,9,3
23,483,13,3,1,1,0,0,10,3
24,480,15,4,1,3,1,0,12,3
25,479,16,4,1,1,0,0,13,3
26,477,18,4,1,2,0,0,15,3
27,475,17,6,2,2,2,1,15,2
28,475,17,6,2,0,0,0,15,2
29,475,17,6,2,0,0,0,16,1
30,473,18,7,2,2,1,0,17,1
31,468,22,8,2,5,1,0,20,2
32,462,28,8,2,6,0,0,27,1
33,461,28,9,2,1,1,0,27,1
34,457,32,9,2,4,0,0,30,2
35,454,33,11,2,3,2,0,30,3
36,447,37,14,2,7,3,0,34,3
37,444,40,14,2,3,0,0,36,4
38,441,41,16,2,3,2,0,36,5
39,441,40,16,3,0,0,1,36,4
40,438,42,17,3,3,1,0,37,5
41,428,51,18,3,10,1,0,47,4
42,420,57,20,3,8,2,0,54,3
43,413,59,25,3,7,5,0,56,3
44,411,58,28,3,2,3,0,55,3
45,401,68,28,3,10,0,0,66,2
46,385,82,30,3,16,2,0,79,3
47,374,88,35,3,11,5,0,84,4
48,365,95,37,3,9,2,0,90,5
49,361,98,38,3,4,1,0,92,6
50,355,101,41,3,6,3,0,94,7
51,340,116,41,3,15,0,0,110,6
52,324,123,50,3,16,9,0,116,7
53,319,124,54,3,5,4,0,118,6
54,303,135,59,3,16,5,0,125,10
55,295,139,62,4,8,3,1,127,12
56,289,140,66,5,6,4,1,129,11
57,267,149,79,5,22,13,0,136,13
58,253,150,92,5,14,13,0,135,15
59,247,151,97,5,6,5,0,134,17
