day,susceptible,infected,recovered,dead,new_infections,new_recoveries,new_deaths,infected_mobile,infected_homebound
0,499,1,0,0,0,0,0,1,0
1,499,1,0,0,0,0,0,1,0
2,499,1,0,0,0,0,0,1,0
3,499,1,0,0,0,0,0,1,0
4,496,4,0,0,3,0,0,4,0
5,494,6,0,0,2,0,0,6,0
6,494,6,0,0,0,0,0,6,0
7,494,6,0,0,0,0,0,6,0
8,492,8,0,0,2,0,0,8,0
9,490,10,0,0,2,0,0,10,0
10,486,14,0,0,4,0,0,14,0
11,486,14,0,0,0,0,0,14,0
12,486,14,0,0,0,0,0,13,1
13,485,15,0,0,1,0,0,14,1
14,484,16,0,0,1,0,0,15,1
15,481,18,1,0,3,1,0,17,1
16,478,18,4,0,3,3,0,16,2
17,478,18,4,0,0,0,0,16,2
18,477,19,4,0,1,0,0,17,2
19,470,26,4,0,7,0,0,24,2
20,465,29,6,0,5,2,0,27,2
21,462,31,7,0,3,1,0,29,2
22,462,29,9,0,0,2,0,27,2
23,454,37,9,0,8,0,0,36,1
24,437,53,10,0,17,1,0,51,2
25,428,61,11,0,9,1,0,59,2
26,424,63,13,0,4,2,0,60,3
27,422,65,13,0,2,0,0,62,3
28,411,76,13,0,11,0,0,70,6
29,391,96,13,0,20,0,0,89,7
30,386,99,15,0,5,2,0,92,7
31,376,105,19,0,10,4,0,97,8
32,360,117,23,0,16,4,0,105,12
33,351,126,23,0,9,0,0,115,11
34,330,142,27,1,21,4,1,131,11
35,319,145,34,2,11,7,1,132,13
36,310,143,45,2,9,11,0,131,12
37,288,160,50,2,22,5,0,143,17
38,276,170,52,2,12,2,0,155,15
39,262,178,58,2,14,6,0,165,13
40,243,188,67,2,19,9,0,170,18
41,231,189,78,2,12,11,0,171,18
42,221,195,82,2,10,4,0,180,15
43,207,200,90,3,14,8,1,181,19
44,195,202,100,3,12,10,0,184,18
45,177,208,112,3,18,12,0,190,18
46,174,198,125,3,3,13,0,178,20
47,167,195,134,4,7,9,1,174,21
48,155,196,143,6,12,9,2,173,23
49,149,187,158,6,6,15,0,163,24
50,145,174,175,6,4,17,0,153,21
51,143,166,184,7,2,9,1,147,19
52,137,158,197,8,6,13,1,137,21
53,130,147,214,9,7,17,1,128,19
54,125,142,224,9,5,10,0,124,18
55,124,124,241,11,1,17,2,110,14
56,124,110,254,12,0,13,1,97,13
57,121,103,262,14,3,8,2,92,11
58,117,100,269,14,4,7,0,91,9
59,116,90,280,14,1,11,0,81,9
