day,susceptible,infected,recovered,dead,new_infections,new_recoveries,new_deaths,infected_mobile,infected_homebound
0,499,1,0,0,0,0,0,1,0
1,499,1,0,0,0,0,0,1,0
2,499,1,0,0,0,0,0,1,0
3,499,1,0,0,0,0,0,1,0
4,499,1,0,0,0,0,0,1,0
5,497,3,0,0,2,0,0,3,0
6,497,3,0,0,0,0,0,3,0
7,497,3,0,0,0,0,0,3,0
8,497,3,0,0,0,0,0,3,0
9,497,3,0,0,0,0,0,3,0
10,496,4,0,0,1,0,0,4,0
11,496,4,0,0,0,0,0,4,0
12,496,4,0,0,0,0,0,4,0
13,496,4,0,0,0,0,0,4,0
14,494,6,0,0,2,0,0,6,0
15,492,7,1,0,2,1,0,7,0
16,492,6,2,0,0,1,0,6,0
17,492,6,2,0,0,0,0,6,0
18,492,6,2,0,0,0,0,6,0
19,489,9,2,0,3,0,0,9,0
20,487,11,2,0,2,0,0,11,0
21,486,11,3,0,1,1,0,11,0
22,484,13,3,0,2,0,0,12,1
23,482,15,3,0,2,0,0,13,2
24,480,17,3,0,2,0,0,14,3
25,478,19,3,0,2,0,0,15,4
26,474,21,5,0,4,2,0,17,4
27,474,21,5,0,0,0,0,17,4
28,469,26,5,0,5,0,0,22,4
29,467,28,5,0,2,0,0,23,5
30,467,26,6,1,0,1,1,23,3
31,466,24,9,1,1,3,0,21,3
32,464,26,9,1,2,0,0,24,2
33,459,31,9,1,5,0,0,29,2
34,457,33,9,1,2,0,0,30,3
35,457,31,11,1,0,2,0,28,3
36,457,31,11,1,0,0,0,29,2
37,454,31,14,1,3,3,0,29,2
38,449,33,17,1,5,3,0,32,1
39,445,35,19,1,4,2,0,34,1
40,441,34,24,1,4,5,0,32,2
41,437,37,25,1,4,1,0,33,4
42,434,39,26,1,3,1,0,35,4
43,424,47,28,1,10,2,0,41,6
44,423,46,30,1,1,2,0,40,6
45,421,45,33,1,2,3,0,37,8
46,420,46,33,1,1,0,0,38,8
47,419,46,34,1,1,1,0,39,7
48,405,59,35,1,14,1,0,53,6
49,394,63,41,2,11,6,1,57,6
50,394,61,43,2,0,2,0,57,4
51,384,69,45,2,10,2,0,63,6
52,378,72,48,2,6,3,0,66,6
53,370,76,51,3,8,3,1,71,5
54,366,77,54,3,4,3,0,71,6
55,363,75,59,3,3,5,0,69,6
56,346,92,59,3,17,0,0,83,9
57,338,99,60,3,8,1,0,90,9
58,333,102,62,3,5,2,0,93,9
59,323,102,72,3,10,10,0,88,14
