agent_id,day,home_id,phase,susceptibility,immunity_strength,state,state_code,is_mobile,viral_load,infection_day,days_since_infection,immunity_is_strong,immunity_is_medium,immunity_is_low,immunity_is_compromised,route_centroid_x,route_centroid_y,route_radius_mean,route_radius_max,route_step_distance_mean,route_step_distance_max,case_index,seed,susceptibility_min,susceptibility_max,sim_days,baseline_final_attack_rate,baseline_peak_infected,baseline_peak_day,intervention_final_attack_rate,intervention_final_susceptible,intervention_peak_infected,intervention_peak_day,attack_rate_reduction,baseline_is_outbreak,intervention_is_outbreak,prevented_outbreak
69,4,114,2,1.3024381854363392,medium,infected,1,1,37.988,0,4,0,1,0,0,20.5,21.8,17.189924825197444,24.675696545386515,24.245667208392316,35.77708763999664,1,0,1.302,1.303,60,0.58,142,48,0.002,499,1,0,0.578,1,0,1
44,21,66,6,1.3022849628330293,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,26.3,28.6,17.99645306561807,32.68103425535979,30.061312809001794,50.44799302251776,1,0,1.302,1.303,60,0.58,142,48,0.552,224,141,50,0.027999999999999914,1,1,0
44,25,66,6,1.3022849628330293,medium,infected,1,1,35.696,21,4,0,1,0,0,26.3,28.6,17.99645306561807,32.68103425535979,30.061312809001794,50.44799302251776,1,0,1.302,1.303,60,0.58,142,48,0.556,222,139,48,0.02399999999999991,1,1,0
6,39,124,8,1.3026117708643248,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,21.0,26.8,22.81778350833667,28.454173683310504,38.79592333054963,52.392747589718944,1,0,1.302,1.303,60,0.58,142,48,0.564,218,135,48,0.016000000000000014,1,1,0
57,34,85,3,1.3029444140087685,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,24.3,24.4,19.871545323035225,28.591082525850606,30.044173931619827,42.44997055358225,1,0,1.302,1.303,60,0.58,142,48,0.57,215,141,54,0.010000000000000009,1,1,0
57,39,85,3,1.3029444140087685,medium,infected,1,1,39.687,34,5,0,1,0,0,24.3,24.4,19.871545323035225,28.591082525850606,30.044173931619827,42.44997055358225,1,0,1.302,1.303,60,0.58,142,48,0.57,215,140,54,0.010000000000000009,1,1,0
2,26,107,3,1.3028744832594459,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,17.2,22.4,19.896604580991884,35.827363843855444,28.402629630897138,43.657759905886145,1,0,1.302,1.303,60,0.58,142,48,0.574,213,145,54,0.006000000000000005,1,1,0
15,21,72,1,1.302795657155682,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,25.8,24.3,16.693111718068607,24.069275020241054,25.616915225507718,44.14748010928823,1,0,1.302,1.303,60,0.58,142,48,0.574,213,142,54,0.006000000000000005,1,1,0
36,16,80,8,1.3023449285102793,medium,susceptible,0,1,0.0,-1,-1,0,1,0,0,22.7,27.2,16.65836440931439,30.576625059021804,24.901888639841616,42.80186911806539,1,0,1.302,1.303,60,0.58,142,48,0.574,213,143,54,0.006000000000000005,1,1,0
36,21,80,8,1.3023449285102793,medium,infected,1,1,39.722,16,5,0,1,0,0,22.7,27.2,16.65836440931439,30.576625059021804,24.901888639841616,42.80186911806539,1,0,1.302,1.303,60,0.58,142,48,0.574,213,142,54,0.006000000000000005,1,1,0
