day,susceptible,infected,recovered,dead,new_infections,new_recoveries,new_deaths,infected_mobile,infected_homebound
0,499,1,0,0,0,0,0,1,0
1,499,1,0,0,0,0,0,1,0
2,499,1,0,0,0,0,0,1,0
3,499,1,0,0,0,0,0,1,0
4,497,3,0,0,2,0,0,3,0
5,497,3,0,0,0,0,0,3,0
6,497,3,0,0,0,0,0,3,0
7,497,3,0,0,0,0,0,3,0
8,496,4,0,0,1,0,0,4,0
9,493,7,0,0,3,0,0,7,0
10,493,7,0,0,0,0,0,7,0
11,493,7,0,0,0,0,0,7,0
12,493,7,0,0,0,0,0,7,0
13,491,9,0,0,2,0,0,9,0
14,490,10,0,0,1,0,0,10,0
15,488,11,1,0,2,1,0,11,0
16,485,13,2,0,3,1,0,11,2
17,483,15,2,0,2,0,0,12,3
18,483,15,2,0,0,0,0,12,3
19,482,16,2,0,1,0,0,13,3
20,477,19,4,0,5,2,0,15,4
21,473,22,5,0,4,1,0,18,4
22,473,22,5,0,0,0,0,18,4
23,471,23,5,1,2,0,1,20,3
24,468,25,6,1,3,1,0,23,2
25,461,31,7,1,7,1,0,29,2
26,454,38,7,1,7,0,0,36,2
27,454,38,7,1,0,0,0,37,1
28,451,40,8,1,3,1,0,38,2
29,446,44,9,1,5,1,0,40,4
30,438,52,9,1,8,0,0,49,3
31,434,53,12,1,4,3,0,50,3
32,430,54,15,1,4,3,0,50,4
33,424,59,16,1,6,1,0,54,5
34,416,66,17,1,8,1,0,61,5
35,404,75,20,1,12,3,0,70,5
36,398,77,24,1,6,4,0,73,4
37,390,78,31,1,8,7,0,73,5
38,379,87,33,1,11,2,0,79,8
39,364,102,33,1,15,0,0,93,9
40,355,109,35,1,9,2,0,100,9
41,350,106,42,2,5,7,1,97,9
42,350,103,45,2,0,3,0,94,9
43,333,117,47,3,17,2,1,107,10
44,315,132,50,3,18,3,0,119,13
45,312,130,55,3,3,5,0,119,11
46,302,132,63,3,10,8,0,119,13
47,289,138,70,3,13,7,0,120,18
48,280,142,75,3,9,5,0,125,17
49,274,140,83,3,6,8,0,124,16
50,266,138,93,3,8,10,0,121,17
51,258,139,100,3,8,7,0,121,18
52,253,137,104,6,5,4,3,122,15
53,244,141,109,6,9,5,0,127,14
54,236,142,115,7,8,6,1,131,11
55,224,137,131,8,12,16,1,126,11
56,222,126,144,8,2,13,0,114,12
57,218,126,148,8,4,4,0,115,11
58,215,121,154,10,3,6,2,113,8
59,210,109,170,11,5,16,1,100,9
