day,susceptible,infected,recovered,dead,new_infections,new_recoveries,new_deaths,infected_mobile,infected_homebound
0,499,1,0,0,0,0,0,1,0
1,499,1,0,0,0,0,0,1,0
2,499,1,0,0,0,0,0,1,0
3,499,1,0,0,0,0,0,1,0
4,495,5,0,0,4,0,0,5,0
5,494,6,0,0,1,0,0,6,0
6,494,6,0,0,0,0,0,6,0
7,493,7,0,0,1,0,0,6,1
8,492,8,0,0,1,0,0,7,1
9,490,10,0,0,2,0,0,9,1
10,489,11,0,0,1,0,0,10,1
11,489,11,0,0,0,0,0,10,1
12,488,12,0,0,1,0,0,10,2
13,487,13,0,0,1,0,0,10,3
14,482,18,0,0,5,0,0,16,2
15,481,18,1,0,1,1,0,16,2
16,480,18,2,0,1,1,0,16,2
17,471,27,2,0,9,0,0,23,4
18,470,28,2,0,1,0,0,24,4
19,465,32,3,0,5,1,0,29,3
20,464,30,6,0,1,3,0,28,2
21,455,38,7,0,9,1,0,36,2
22,446,47,7,0,9,0,0,44,3
23,445,48,7,0,1,0,0,45,3
24,441,52,7,0,4,0,0,48,4
25,437,53,10,0,4,3,0,49,4
26,431,58,11,0,6,1,0,54,4
27,423,66,11,0,8,0,0,62,4
28,418,69,13,0,5,2,0,64,5
29,413,69,18,0,5,5,0,62,7
30,406,73,21,0,7,3,0,65,8
31,399,75,26,0,7,5,0,70,5
32,383,91,26,0,16,0,0,85,6
33,377,87,36,0,6,10,0,80,7
34,372,89,39,0,5,3,0,81,8
35,357,100,43,0,15,4,0,91,9
36,351,105,43,1,6,0,1,98,7
37,329,123,46,2,22,3,1,115,8
38,317,129,52,2,12,6,0,116,13
39,314,131,53,2,3,1,0,119,12
40,311,126,61,2,3,8,0,110,16
41,300,131,66,3,11,5,1,114,17
42,288,135,74,3,12,8,0,120,15
43,279,136,82,3,9,8,0,121,15
44,279,127,90,4,0,8,1,115,12
45,270,132,94,4,9,4,0,122,10
46,253,142,100,5,17,6,1,129,13
47,244,140,111,5,9,11,0,130,10
48,240,132,123,5,4,12,0,123,9
49,236,124,134,6,4,11,1,114,10
50,228,127,139,6,8,5,0,115,12
51,216,134,144,6,12,5,0,120,14
52,215,128,151,6,1,7,0,115,13
53,208,119,167,6,7,16,0,108,11
54,197,121,176,6,11,9,0,105,16
55,192,121,180,7,5,4,1,107,14
56,189,118,186,7,3,6,0,106,12
57,185,113,195,7,4,9,0,101,12
58,180,103,209,8,5,14,1,94,9
59,172,103,216,9,8,7,1,94,9
