0.000,0.000
0.025,0.000
0.050,0.002
0.075,0.007
0.100,0.019
0.125,0.039
0.150,0.071
0.175,0.117
0.200,0.180
0.225,0.262
0.250,0.365
0.275,0.490
0.300,0.640
0.325,0.816
0.350,1.019
0.375,1.250
0.400,1.508
0.425,1.796
0.450,2.113
0.475,2.460
0.500,2.835
0.525,3.239
0.550,3.671
0.575,4.132
0.600,4.619
0.625,5.132
0.650,5.670
0.675,6.233
0.700,6.818
0.725,7.425
0.750,8.053
0.775,8.700
0.800,9.364
0.825,10.045
0.850,10.741
0.875,11.450
0.900,12.172
0.925,12.904
0.950,13.645
0.975,14.393
1.000,15.148
1.025,15.907
1.050,16.670
1.075,17.435
1.100,18.200
1.125,18.965
1.150,19.727
1.175,20.487
1.200,21.242
1.225,21.991
1.250,22.733
1.275,23.468
1.300,24.194
1.325,24.910
1.350,25.615
1.375,26.309
1.400,26.990
1.425,27.658
1.450,28.312
1.475,28.951
1.500,29.575
1.525,30.183
1.550,30.775
1.575,31.350
1.600,31.907
1.625,32.446
1.650,32.967
1.675,33.470
1.700,33.954
1.725,34.418
1.750,34.864
1.775,35.290
1.800,35.696
1.825,36.083
1.850,36.450
1.875,36.797
1.900,37.124
1.925,37.432
1.950,37.720
1.975,37.988
2.000,38.237
2.025,38.466
2.050,38.676
2.075,38.867
2.100,39.039
2.125,39.192
2.150,39.327
2.175,39.444
2.200,39.543
2.225,39.624
2.250,39.687
2.275,39.734
2.300,39.764
2.325,39.777
2.350,39.775
2.375,39.756
2.400,39.722
2.425,39.673
2.450,39.610
2.475,39.532
2.500,39.440
2.525,39.335
2.550,39.216
2.575,39.085
2.600,38.941
2.625,38.786
2.650,38.618
2.675,38.440
2.700,38.250
2.725,38.050
2.750,37.840
2.775,37.620
2.800,37.391
2.825,37.153
2.850,36.906
2.875,36.651
2.900,36.388
2.925,36.118
2.950,35.841
2.975,35.556
3.000,35.266
3.025,34.969
3.050,34.666
3.075,34.358
3.100,34.045
3.125,33.726
3.150,33.404
3.175,33.077
3.200,32.746
3.225,32.412
3.250,32.074
3.275,31.733
3.300,31.390
3.325,31.044
3.350,30.696
3.375,30.345
3.400,29.993
3.425,29.640
3.450,29.285
3.475,28.929
3.500,28.572
3.525,28.215
3.550,27.857
3.575,27.499
3.600,27.140
3.625,26.782
3.650,26.425
3.675,26.068
3.700,25.711
3.725,25.355
3.750,25.001
3.775,24.647
3.800,24.295
3.825,23.944
3.850,23.594
3.875,23.247
3.900,22.901
3.925,22.557
3.950,22.215
3.975,21.875
4.000,21.537
4.025,21.202
4.050,20.869
4.075,20.539
4.100,20.211
4.125,19.885
4.150,19.563
4.175,19.243
4.200,18.926
4.225,18.612
4.250,18.301
4.275,17.993
4.300,17.688
4.325,17.387
4.350,17.088
4.375,16.792
4.400,16.500
4.425,16.211
4.450,15.925
4.475,15.643
4.500,15.364
4.525,15.088
4.550,14.816
4.575,14.547
4.600,14.281
4.625,14.019
4.650,13.760
4.675,13.505
4.700,13.253
4.725,13.004
4.750,12.759
4.775,12.518
4.800,12.279
4.825,12.044
4.850,11.813
4.875,11.585
4.900,11.360
4.925,11.138
4.950,10.920
4.975,10.705
5.000,10.494
5.025,10.286
5.050,10.081
5.075,9.879
5.100,9.680
5.125,9.485
5.150,9.293
5.175,9.104
5.200,8.918
5.225,8.735
5.250,8.555
5.275,8.379
5.300,8.205
5.325,8.034
5.350,7.866
5.375,7.701
5.400,7.539
5.425,7.380
5.450,7.224
5.475,7.070
5.500,6.920
5.525,6.772
5.550,6.626
5.575,6.484
5.600,6.344
5.625,6.206
5.650,6.071
5.675,5.939
5.700,5.809
5.725,5.681
5.750,5.556
5.775,5.434
5.800,5.314
5.825,5.196
5.850,5.080
5.875,4.967
5.900,4.855
5.925,4.746
5.950,4.640
5.975,4.535
6.000,4.432
6.025,4.332
6.050,4.233
6.075,4.137
6.100,4.042
6.125,3.949
6.150,3.859
6.175,3.770
6.200,3.683
6.225,3.598
6.250,3.514
6.275,3.432
6.300,3.352
6.325,3.274
6.350,3.197
6.375,3.122
6.400,3.049
6.425,2.977
6.450,2.907
6.475,2.838
6.500,2.771
6.525,2.705
6.550,2.640
6.575,2.577
6.600,2.516
6.625,2.455
6.650,2.396
6.675,2.339
6.700,2.282
6.725,2.227
6.750,2.173
6.775,2.120
6.800,2.069
6.825,2.018
6.850,1.969
6.875,1.921
6.900,1.874
6.925,1.828
6.950,1.783
6.975,1.739
7.000,1.696
7.025,1.654
7.050,1.613
7.075,1.573
7.100,1.534
7.125,1.496
7.150,1.459
7.175,1.422
7.200,1.387
7.225,1.352
7.250,1.318
7.275,1.285
7.300,1.253
7.325,1.221
7.350,1.190
7.375,1.160
7.400,1.131
7.425,1.102
7.450,1.074
7.475,1.047
7.500,1.020
7.525,0.994
7.550,0.969
7.575,0.944
7.600,0.920
7.625,0.896
7.650,0.873
7.675,0.851
7.700,0.829
7.725,0.807
7.750,0.786
7.775,0.766
7.800,0.746
7.825,0.727
7.850,0.708
7.875,0.689
7.900,0.672
7.925,0.654
7.950,0.637
7.975,0.620
8.000,0.604
8.025,0.588
8.050,0.573
8.075,0.558
8.100,0.543
8.125,0.529
8.150,0.515
8.175,0.501
8.200,0.488
8.225,0.475
8.250,0.462
8.275,0.450
8.300,0.438
8.325,0.426
8.350,0.415
8.375,0.404
8.400,0.393
8.425,0.383
8.450,0.372
8.475,0.362
8.500,0.353
8.525,0.343
8.550,0.334
8.575,0.325
8.600,0.316
8.625,0.308
8.650,0.299
8.675,0.291
8.700,0.283
8.725,0.276
8.750,0.268
8.775,0.261
8.800,0.254
8.825,0.247
8.850,0.240
8.875,0.234
8.900,0.227
8.925,0.221
8.950,0.215
8.975,0.209
9.000,0.204
9.025,0.198
9.050,0.193
9.075,0.187
9.100,0.182
9.125,0.177
