0.000,0.000
0.025,0.000
0.050,0.000
0.075,0.002
0.100,0.005
0.125,0.012
0.150,0.024
0.175,0.042
0.200,0.069
0.225,0.105
0.250,0.152
0.275,0.211
0.300,0.285
0.325,0.373
0.350,0.477
0.375,0.598
0.400,0.736
0.425,0.893
0.450,1.067
0.475,1.260
0.500,1.472
0.525,1.702
0.550,1.950
0.575,2.216
0.600,2.499
0.625,2.798
0.650,3.114
0.675,3.445
0.700,3.790
0.725,4.148
0.750,4.519
0.775,4.901
0.800,5.293
0.825,5.695
0.850,6.104
0.875,6.520
0.900,6.942
0.925,7.368
0.950,7.798
0.975,8.229
1.000,8.662
1.025,9.095
1.050,9.527
1.075,9.957
1.100,10.383
1.125,10.806
1.150,11.223
1.175,11.635
1.200,12.040
1.225,12.437
1.250,12.826
1.275,13.207
1.300,13.577
1.325,13.937
1.350,14.287
1.375,14.625
1.400,14.951
1.425,15.266
1.450,15.567
1.475,15.856
1.500,16.131
1.525,16.394
1.550,16.642
1.575,16.877
1.600,17.097
1.625,17.304
1.650,17.497
1.675,17.675
1.700,17.839
1.725,17.990
1.750,18.126
1.775,18.249
1.800,18.358
1.825,18.453
1.850,18.534
1.875,18.603
1.900,18.659
1.925,18.701
1.950,18.731
1.975,18.749
2.000,18.755
2.025,18.749
2.050,18.732
2.075,18.704
2.100,18.665
2.125,18.615
2.150,18.555
2.175,18.486
2.200,18.407
2.225,18.318
2.250,18.221
2.275,18.116
2.300,18.002
2.325,17.881
2.350,17.753
2.375,17.617
2.400,17.475
2.425,17.326
2.450,17.171
2.475,17.010
2.500,16.845
2.525,16.674
2.550,16.498
2.575,16.318
2.600,16.134
2.625,15.946
2.650,15.754
2.675,15.559
2.700,15.362
2.725,15.161
2.750,14.958
2.775,14.753
2.800,14.546
2.825,14.338
2.850,14.128
2.875,13.916
2.900,13.704
2.925,13.491
2.950,13.278
2.975,13.064
3.000,12.850
3.025,12.635
3.050,12.421
3.075,12.208
3.100,11.995
3.125,11.782
3.150,11.571
3.175,11.360
3.200,11.150
3.225,10.942
3.250,10.735
3.275,10.529
3.300,10.325
3.325,10.122
3.350,9.921
3.375,9.722
3.400,9.525
3.425,9.330
3.450,9.137
3.475,8.946
3.500,8.757
3.525,8.571
3.550,8.387
3.575,8.205
3.600,8.025
3.625,7.848
3.650,7.673
3.675,7.501
3.700,7.332
3.725,7.164
3.750,7.000
3.775,6.838
3.800,6.678
3.825,6.521
3.850,6.367
3.875,6.215
3.900,6.066
3.925,5.920
3.950,5.776
3.975,5.635
4.000,5.496
4.025,5.360
4.050,5.226
4.075,5.095
4.100,4.967
4.125,4.841
4.150,4.718
4.175,4.597
4.200,4.478
4.225,4.362
4.250,4.248
4.275,4.137
4.300,4.028
4.325,3.922
4.350,3.817
4.375,3.715
4.400,3.616
4.425,3.518
4.450,3.423
4.475,3.330
4.500,3.239
4.525,3.150
4.550,3.063
4.575,2.978
4.600,2.895
4.625,2.814
4.650,2.736
4.675,2.659
4.700,2.583
4.725,2.510
4.750,2.439
4.775,2.369
4.800,2.301
4.825,2.235
4.850,2.170
4.875,2.107
4.900,2.046
4.925,1.986
4.950,1.928
4.975,1.871
5.000,1.816
5.025,1.762
5.050,1.710
5.075,1.659
5.100,1.609
5.125,1.561
5.150,1.514
5.175,1.468
5.200,1.424
5.225,1.381
5.250,1.339
5.275,1.298
5.300,1.258
5.325,1.220
5.350,1.182
5.375,1.146
5.400,1.110
5.425,1.076
5.450,1.042
5.475,1.010
5.500,0.978
5.525,0.947
5.550,0.918
5.575,0.889
5.600,0.861
5.625,0.833
5.650,0.807
5.675,0.781
5.700,0.756
5.725,0.732
5.750,0.709
5.775,0.686
5.800,0.664
5.825,0.642
5.850,0.622
5.875,0.602
5.900,0.582
5.925,0.563
5.950,0.545
5.975,0.527
6.000,0.510
6.025,0.493
6.050,0.477
6.075,0.461
6.100,0.446
6.125,0.431
6.150,0.417
6.175,0.403
6.200,0.389
6.225,0.376
6.250,0.364
6.275,0.352
6.300,0.340
6.325,0.329
6.350,0.317
6.375,0.307
6.400,0.296
6.425,0.286
6.450,0.277
6.475,0.267
6.500,0.258
6.525,0.249
6.550,0.241
6.575,0.233
6.600,0.225
6.625,0.217
6.650,0.210
6.675,0.202
6.700,0.195
6.725,0.189
6.750,0.182
6.775,0.176
6.800,0.170
6.825,0.164
6.850,0.158
6.875,0.153
6.900,0.147
6.925,0.142
6.950,0.137
6.975,0.132
7.000,0.128
7.025,0.123
7.050,0.119
7.075,0.115
7.100,0.111
7.125,0.107
7.150,0.103
7.175,0.099
7.200,0.096
7.225,0.092
7.250,0.089
7.275,0.086
7.300,0.083
7.325,0.080
7.350,0.077
7.375,0.074
7.400,0.072
7.425,0.069
7.450,0.067
7.475,0.064
7.500,0.062
7.525,0.060
7.550,0.058
7.575,0.055
7.600,0.053
7.625,0.052
7.650,0.050
7.675,0.048
7.700,0.046
7.725,0.044
7.750,0.043
7.775,0.041
7.800,0.040
7.825,0.038
7.850,0.037
7.875,0.036
7.900,0.034
7.925,0.033
7.950,0.032
7.975,0.031
8.000,0.029
8.025,0.028
8.050,0.027
8.075,0.026
8.100,0.025
8.125,0.024
8.150,0.024
8.175,0.023
8.200,0.022
8.225,0.021
8.250,0.020
8.275,0.019
8.300,0.019
8.325,0.018
8.350,0.017
8.375,0.017
8.400,0.016
8.425,0.016
8.450,0.015
8.475,0.014
8.500,0.014
8.525,0.013
8.550,0.013
8.575,0.012
8.600,0.012
8.625,0.011
8.650,0.011
8.675,0.011
8.700,0.010
8.725,0.010
8.750,0.009
8.775,0.009
8.800,0.009
8.825,0.008
8.850,0.008
8.875,0.008
8.900,0.007
8.925,0.007
8.950,0.007
8.975,0.007
9.000,0.006
9.025,0.006
9.050,0.006
9.075,0.006
9.100,0.005
9.125,0.005
