day,susceptible,infected,recovered,dead,new_infections,new_recoveries,new_deaths,infected_mobile,infected_homebound
0,499,1,0,0,0,0,0,1,0
1,499,1,0,0,0,0,0,1,0
2,499,1,0,0,0,0,0,1,0
3,499,1,0,0,0,0,0,1,0
4,498,2,0,0,1,0,0,2,0
5,498,2,0,0,0,0,0,2,0
6,498,2,0,0,0,0,0,2,0
7,498,2,0,0,0,0,0,2,0
8,497,3,0,0,1,0,0,3,0
9,496,4,0,0,1,0,0,4,0
10,496,4,0,0,0,0,0,4,0
11,496,4,0,0,0,0,0,4,0
12,496,4,0,0,0,0,0,4,0
13,495,5,0,0,1,0,0,5,0
14,494,6,0,0,1,0,0,6,0
15,494,5,1,0,0,1,0,5,0
16,494,5,1,0,0,0,0,5,0
17,494,5,1,0,0,0,0,5,0
18,493,6,1,0,1,0,0,6,0
19,491,8,1,0,2,0,0,8,0
20,491,7,2,0,0,1,0,6,1
21,491,7,2,0,0,0,0,6,1
22,491,7,2,0,0,0,0,6,1
23,491,7,2,0,0,0,0,6,1
24,491,5,4,0,0,2,0,4,1
25,491,5,4,0,0,0,0,4,1
26,491,5,4,0,0,0,0,4,1
27,491,5,4,0,0,0,0,4,1
28,491,4,4,1,0,0,1,4,0
29,491,4,4,1,0,0,0,4,0
30,491,2,6,1,0,2,0,2,0
31,491,0,8,1,0,2,0,0,0
