day,susceptible,infected,recovered,dead,new_infections,new_recoveries,new_deaths,infected_mobile,infected_homebound
0,499,1,0,0,0,0,0,1,0
1,499,1,0,0,0,0,0,1,0
2,499,1,0,0,0,0,0,1,0
3,499,1,0,0,0,0,0,1,0
4,497,3,0,0,2,0,0,3,0
5,495,5,0,0,2,0,0,5,0
6,495,5,0,0,0,0,0,5,0
7,495,5,0,0,0,0,0,5,0
8,494,6,0,0,1,0,0,6,0
9,493,7,0,0,1,0,0,7,0
10,492,8,0,0,1,0,0,8,0
11,492,8,0,0,0,0,0,8,0
12,492,8,0,0,0,0,0,8,0
13,492,8,0,0,0,0,0,8,0
14,491,9,0,0,1,0,0,9,0
15,488,11,1,0,3,1,0,11,0
16,488,10,2,0,0,1,0,10,0
17,488,9,3,0,0,1,0,9,0
18,488,9,3,0,0,0,0,9,0
19,488,9,3,0,0,0,0,9,0
20,488,7,5,0,0,2,0,7,0
21,488,5,7,0,0,2,0,5,0
22,488,5,7,0,0,0,0,5,0
23,488,5,7,0,0,0,0,5,0
24,488,5,7,0,0,0,0,5,0
25,488,5,7,0,0,0,0,5,0
26,488,3,9,0,0,2,0,3,0
27,488,1,11,0,0,2,0,1,0
28,488,1,11,0,0,0,0,1,0
29,488,1,11,0,0,0,0,1,0
30,488,1,11,0,0,0,0,1,0
31,488,0,12,0,0,1,0,0,0
