day,susceptible,infected,recovered,dead,new_infections,new_recoveries,new_deaths,infected_mobile,infected_homebound
0,499,1,0,0,0,0,0,1,0
1,499,1,0,0,0,0,0,1,0
2,499,1,0,0,0,0,0,1,0
3,499,1,0,0,0,0,0,1,0
4,499,1,0,0,0,0,0,1,0
5,496,4,0,0,3,0,0,4,0
6,496,4,0,0,0,0,0,4,0
7,496,4,0,0,0,0,0,4,0
8,496,4,0,0,0,0,0,4,0
9,494,6,0,0,2,0,0,6,0
10,484,16,0,0,10,0,0,16,0
11,484,16,0,0,0,0,0,16,0
12,484,16,0,0,0,0,0,16,0
13,483,17,0,0,1,0,0,16,1
14,482,18,0,0,1,0,0,17,1
15,475,24,1,0,7,1,0,23,1
16,473,26,1,0,2,0,0,25,1
17,473,26,1,0,0,0,0,24,2
18,467,32,1,0,6,0,0,27,5
19,466,33,1,0,1,0,0,28,5
20,461,38,1,0,5,0,0,34,4
21,459,36,5,0,2,4,0,32,4
22,458,31,11,0,1,6,0,26,5
23,450,39,11,0,8,0,0,31,8
24,448,41,11,0,2,0,0,33,8
25,440,45,14,1,8,3,1,39,6
26,433,50,16,1,7,2,0,43,7
27,428,54,17,1,5,1,0,46,8
28,422,59,18,1,6,1,0,51,8
29,417,64,18,1,5,0,0,56,8
30,409,68,21,2,8,3,1,63,5
31,395,79,24,2,14,3,0,74,5
32,389,84,25,2,6,1,0,80,4
33,383,89,25,3,6,0,1,86,3
34,373,95,27,5,10,2,2,90,5
35,364,99,32,5,9,5,0,94,5
36,356,102,37,5,8,5,0,97,5
37,350,102,43,5,6,6,0,96,6
38,343,106,46,5,7,3,0,99,7
39,339,104,52,5,4,6,0,97,7
40,334,106,55,5,5,3,0,96,10
41,326,105,64,5,8,9,0,96,9
42,314,109,72,5,12,8,0,99,10
43,307,111,77,5,7,5,0,99,12
44,305,105,85,5,2,8,0,93,12
45,298,106,89,7,7,4,2,94,12
46,292,102,99,7,6,10,0,89,13
47,289,96,108,7,3,9,0,83,13
48,285,90,116,9,4,8,2,79,11
49,279,91,119,11,6,3,2,82,9
50,273,92,124,11,6,5,0,82,10
51,264,96,129,11,9,5,0,84,12
52,261,88,140,11,3,11,0,76,12
53,257,82,150,11,4,10,0,69,13
54,244,88,156,12,13,6,1,74,14
55,242,85,161,12,2,5,0,71,14
56,240,87,161,12,2,0,0,74,13
57,234,85,169,12,6,8,0,72,13
58,225,86,176,13,9,7,1,77,9
59,219,88,180,13,6,4,0,81,7
