day,susceptible,infected,recovered,dead,new_infections,new_recoveries,new_deaths,infected_mobile,infected_homebound
0,499,1,0,0,0,0,0,1,0
1,499,1,0,0,0,0,0,1,0
2,499,1,0,0,0,0,0,1,0
3,498,2,0,0,1,0,0,1,1
4,498,2,0,0,0,0,0,1,1
5,498,2,0,0,0,0,0,1,1
6,498,2,0,0,0,0,0,1,1
7,498,2,0,0,0,0,0,1,1
8,498,2,0,0,0,0,0,1,1
9,498,2,0,0,0,0,0,1,1
10,498,2,0,0,0,0,0,2,0
11,493,7,0,0,5,0,0,7,0
12,493,7,0,0,0,0,0,7,0
13,493,7,0,0,0,0,0,7,0
14,492,8,0,0,1,0,0,7,1
15,492,7,1,0,0,1,0,6,1
16,492,7,1,0,0,0,0,6,1
17,492,7,1,0,0,0,0,6,1
18,492,7,1,0,0,0,0,6,1
19,490,9,1,0,2,0,0,8,1
20,490,8,2,0,0,1,0,7,1
21,490,8,2,0,0,0,0,8,0
22,489,9,2,0,1,0,0,9,0
23,489,5,6,0,0,4,0,5,0
24,489,5,6,0,0,0,0,5,0
25,489,5,6,0,0,0,0,5,0
26,488,6,6,0,1,0,0,6,0
27,486,8,6,0,2,0,0,8,0
28,486,8,6,0,0,0,0,8,0
29,485,9,6,0,1,0,0,8,1
30,485,8,7,0,0,1,0,7,1
31,485,6,9,0,0,2,0,5,1
32,484,6,10,0,1,1,0,5,1
33,484,6,10,0,0,0,0,5,1
34,483,7,10,0,1,0,0,5,2
35,483,7,10,0,0,0,0,5,2
36,480,10,10,0,3,0,0,9,1
37,478,12,10,0,2,0,0,11,1
38,478,11,11,0,0,1,0,10,1
39,477,12,11,0,1,0,0,11,1
40,476,13,11,0,1,0,0,12,1
41,470,18,12,0,6,1,0,17,1
42,469,18,12,1,1,0,1,18,0
43,469,17,13,1,0,1,0,17,0
44,466,20,13,1,3,0,0,19,1
45,464,22,13,1,2,0,0,21,1
46,462,24,13,1,2,0,0,23,1
47,458,26,15,1,4,2,0,24,2
48,458,24,17,1,0,2,0,22,2
49,457,24,18,1,1,1,0,21,3
50,455,25,19,1,2,1,0,22,3
51,453,27,19,1,2,0,0,25,2
52,450,29,20,1,3,1,0,27,2
53,448,26,25,1,2,5,0,23,3
54,448,26,25,1,0,0,0,24,2
55,446,27,26,1,2,1,0,25,2
56,446,23,30,1,0,4,0,22,1
57,445,24,30,1,1,0,0,23,1
58,442,26,31,1,3,1,0,25,1
59,440,27,32,1,2,1,0,26,1
